date,pass,block,solution,sprayer,nozzle,distance_m,deposition,type,location,distance_log,deposition_log
2020-09-18T00:00:00Z,5,1,Intact,Hood,TTI,8,0.09816006330163646,downwind,missouri,0.9030899869919435,-1.0080651702123629
2020-09-18T00:00:00Z,5,1,Intact,Hood,TTI,16,0.05339250305109931,downwind,missouri,1.2041199826559248,-1.2725197188536639
2020-09-18T00:00:00Z,5,1,Intact,Hood,TTI,30,0.0930946207044809,downwind,missouri,1.4771212547196624,-1.0310754131739266
2020-09-18T00:00:00Z,5,1,Intact,Hood,TTI,45,0.053550660324887464,downwind,missouri,1.6532125137753437,-1.2712351695812052
2020-09-18T00:00:00Z,5,1,Intact,Hood,TTI,60,0.026518697604976202,downwind,missouri,1.7781512503836436,-1.5764478089573624
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,1,1.5723407629278865,downwind,missouri,0,0.19654667365088188
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,2,0.6014186305217418,downwind,missouri,0.3010299956639812,-0.22082312261484263
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,3,0.2651827651537934,downwind,missouri,0.47712125471966244,-0.576454705161052
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,4,0.3261049801736374,downwind,missouri,0.6020599913279624,-0.4866425687334043
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,8,0.15483825884818805,downwind,missouri,0.9030899869919435,-0.8101217209547077
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,16,0.10103504423515719,downwind,missouri,1.2041199826559248,-0.9955279640571214
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,30,0.07899352374483157,downwind,missouri,1.4771212547196624,-1.1024085127244316
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,45,0.05799895798765767,downwind,missouri,1.6532125137753437,-1.2365798089245714
2020-09-18T00:00:00Z,6,1,Intact,Hood,AIXR,60,0.04559505104339457,downwind,missouri,1.7781512503836436,-1.3410822937650628
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,1,1.8674330556818686,downwind,missouri,0,0.271245042043489
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,2,0.29460952494706155,downwind,missouri,0.3010299956639812,-0.5307532161998431
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,3,0.23910137140074758,downwind,missouri,0.47712125471966244,-0.6214179329178132
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,4,0.24451341637151325,downwind,missouri,0.6020599913279624,-0.6116973062898126
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,8,0.2056577088890934,downwind,missouri,0.9030899869919435,-0.6868550067225324
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,16,0.14529259190747687,downwind,missouri,1.2041199826559248,-0.8377565286869996
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,30,0.033304892127788394,downwind,missouri,1.4771212547196624,-1.4774919686542358
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,45,0.3975675712917246,downwind,missouri,1.6532125137753437,-0.4005890472712738
2020-09-19T00:00:00Z,7,2,Intact,Hood,ULD,60,0.1462805872997033,downwind,missouri,1.7781512503836436,-0.8348133046881883
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,1,7.50365896228014,downwind,missouri,0,0.8752730873425448
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,2,1.816132443126118,downwind,missouri,0.3010299956639812,0.2591475166638458
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,3,2.29569833343564,downwind,missouri,0.47712125471966244,0.3609148189473067
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,4,1.189834789953037,downwind,missouri,0.6020599913279624,0.07548666324732407
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,8,0.7971457255765951,downwind,missouri,0.9030899869919435,-0.0984622783170151
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,16,0.429880481498295,downwind,missouri,1.2041199826559248,-0.3666522733524614
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,30,0.08745794182560782,downwind,missouri,1.4771212547196624,-1.05820074725527
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,45,0.2515440855261662,downwind,missouri,1.6532125137753437,-0.5993858896423346
2020-09-19T00:00:00Z,8,2,Intact,Open,AIXR,60,0.05083532583711767,downwind,missouri,1.7781512503836436,-1.2938343884183658
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,1,3.200641057076356,downwind,missouri,0,0.5052369719661032
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,2,1.681168277086269,downwind,missouri,0.3010299956639812,0.22561118646285086
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,3,1.0991807107185196,downwind,missouri,0.47712125471966244,0.04106909844363074
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,4,0.4885731866437195,downwind,missouri,0.6020599913279624,-0.3110703711984589
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,8,0.252930692223228,downwind,missouri,0.9030899869919435,-0.5969984673957632
